ime_avtomobila,znamka,leto_prve_registracije,prevozeni_kilometri,vrsta_motorja,vrsta_menjalnika,velikost_motorja,moc_motorja,cena
Opel Corsa 1.2 16V-ODLIÈNA-KLIMA-5-VRATNA-BREZHIBNA-SLO,Opel,2004,166000,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",55,1160

Opel Corsa 1.4 16V,Opel,2011,194000,bencinski motor,ročni menjalnik,"['1', '3', '9', '8']",74,2990

Opel Corsa 1.4 twinport,Opel,2006,230000,bencinski motor,ročni menjalnik,"['1', '4', '0', '0']",66,1300

Opel Corsa Color Edition 1.2 16V,Opel,2014,103000,bencinski motor,ročni menjalnik,"['1', '2', '2', '9']",63,4999

Opel Corsa Color Edition 1.2 16V Avt+SLO+1 LASTNICA+89000KM,Opel,2014,89000,bencinski motor,avtomatski menjalnik,"['1', '2', '2', '9']",63,15999

Opel Corsa Comfort 1.2 16V Easytronic prvilastnik 128.00km,Opel,2002,128000,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",55,550

Opel Corsa Comfort 1.2 16V prvi lastnik samo128.114,Opel,2002,128000,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",55,550

Opel Corsa Cosmo 1.2 16V,Opel,2005,171000,bencinski motor,ročni menjalnik,"['1', '2', '2', '9']",59,1450

Opel Corsa Cosmo 1.2 16V-KLIMA-SERV.KNJIGA-5 VRAT,Opel,2007,110123,bencinski motor,ročni menjalnik,"['1', '2', '2', '9']",59,2890

Opel Corsa Cosmo 1.4 16V Easytronic,Opel,2006,105000,bencinski motor,ročni menjalnik,"['1', '3', '6', '4']",66,300

Opel Insignia 2.0 CDTI Cosmo Avt. FULL OPREMA,Opel,2014,123000,diesel motor,avtomatski menjalnik,"['1', '9', '5', '6']",120,12490

Opel Insignia Sports Tourer 1.6 CDTi Innovation Avt.,Opel,2018,147900,diesel motor,avtomatski menjalnik,"['1', '5', '9', '8']",100,13999

Opel Insignia SportsTourer 2.0 CDTI,Opel,2011,241000,diesel motor,ročni menjalnik,"['1', '9', '5', '6']",96,3990

Opel Insignia SportsTourer 2.0 CDTI Active Avt.,Opel,2014,175000,diesel motor,avtomatski menjalnik,"['1', '9', '5', '6']",96,8000

Opel Insignia SportsTourer 2.0 CDTI Cosmo,Opel,2011,130730,diesel motor,ročni menjalnik,"['1', '9', '5', '6']",118,7000

Opel Insignia SportsTourer 2.0 CDTI Cosmo Avt.,Opel,2014,247000,diesel motor,avtomatski menjalnik,"['1', '9', '5', '6']",120,7490

Opel Kadett B 1.1 Adam,Opel,1968,52550,bencinski motor,ročni menjalnik,"['1', '0', '7', '8']",33,5490

Opel Meriva 1.4 Turbo Active,Opel,2014,31600,bencinski motor,ročni menjalnik,"['1', '3', '6', '4']",88,8400

Opel Mokka 1.4 Turbo Drive Start Stop,Opel,2016,64500,bencinski motor,ročni menjalnik,"['1', '3', '6', '4']",103,12390

Opel Mokka 1.4 Turbo Start Stop-le 78.000km- 2X PDC- ODLIÈNA,Opel,2015,78000,bencinski motor,ročni menjalnik,"['1', '3', '6', '4']",103,11550

Opel Mokka 1.6 Cosmo-SLOVENSKA-1LAST-SAMO 131.000KM-PDC-18COL,Opel,2012,131502,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",85,8990

Opel Mokka X 1.4 Turbo Enjoy Start Stop,Opel,2019,13000,bencinski motor,ročni menjalnik,"['1', '3', '6', '4']",88,14890

Opel Vectra Cosmo 1.9 CDTI,Opel,2006,285000,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",110,1750

Opel Vectra Karavan Comfort 2.2 DTI Avt.,Opel,2004,345000,diesel motor,avtomatski menjalnik,"['2', '1', '7', '2']",92,1250

Opel Zafira 1.8. SLO. 7 SEDEEV. ODLIÈNA. NA OBROKE - BREZ POLOGA,Opel,2009,125500,bencinski motor,ročni menjalnik,"['1', '7', '9', '6']",103,5299

Opel Zafira 1.9 CDTI-7-SEDEEV-1.LASTNIK-SERVISNA-KNJ-SLO-,Opel,2007,230000,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",74,3900

Opel Zafira Sport 1.9 CDTI Usnje Slovenski zelo lep,Opel,2006,286000,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",110,1790

Opel Zafira Tourer 1.4 Turbo Cosmo Start Stop,Opel,2012,135000,bencinski motor,ročni menjalnik,"['1', '3', '6', '2']",103,8750

Opel Zafira Tourer 1.6 CDTi Cosmo Start Stop,Opel,2015,124000,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",100,12200

Peugeot 1007 HDI,Peugeot,2007,166800,diesel motor,ročni menjalnik,"['1', '3', '9', '8']",50,1900

Peugeot 106 XN Pack,Peugeot,2001,110000,bencinski motor,ročni menjalnik,"['1', '1', '2', '4']",44,505

Peugeot 106 XN Pack,Peugeot,1999,88000,bencinski motor,ročni menjalnik,"['9', '5', '4']",33,600

Peugeot 107 Urban Move 1.0 + ODLIÈEN + TOP + BREZ POLOGA,Peugeot,2008,82369,bencinski motor,ročni menjalnik,"['9', '9', '8']",50,2598

Peugeot 2008 1.2 PureTech 130 S S GT Line,Peugeot,2020,22500,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",96,18500

Peugeot 2008 1.6HDI °SLO°ODLIÈEN °OBROKI - BREZ POLOGA°94750KM,Peugeot,2015,94750,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",68,8699

Peugeot 2008 Active 1.2 PureTech°1.Lastnik°SLO°,Peugeot,2016,64000,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",60,10690

Peugeot 2008 Active 1.2 VTi- LE 130.000KM-ODLIÈEN-HITRI KREDIT-,Peugeot,2014,130000,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",60,7777

Peugeot 2008 Active 1.6 e-HDi Avt.,Peugeot,2013,135000,diesel motor,avtomatski menjalnik,"['1', '5', '6', '0']",68,7200

Peugeot 2008 Allure 1.6 e-HDi-SLOVENSKI-SAMO 57.000KM-PERLA-,Peugeot,2014,57051,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",68,9950

Peugeot 206 1.4 HDi,Peugeot,2002,138000,diesel motor,ročni menjalnik,"['1', '3', '9', '8']",50,800

Peugeot 206 Quiksilver 1.4 16V,Peugeot,2005,169000,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",65,1100

Peugeot 206 SW PopArt 1.4 16V-SLOVENSKI-SAMO117.000KM-1LASTNIK,Peugeot,2004,117535,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",55,1950

Peugeot 206 SW PopArt 1.4 16V-SLOVENSKI-SAMO117.000KM-1LASTNIK,Peugeot,2004,117535,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",55,1950

Peugeot 206 SW Quiksilver 1.6 16V,Peugeot,2004,234049,bencinski motor,ročni menjalnik,"['1', '5', '8', '7']",80,670

Peugeot 206 XS 1.4,Peugeot,2001,227300,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",55,300

Peugeot 206 XS 1.6 16V,Peugeot,2001,196000,bencinski motor,ročni menjalnik,"['1', '5', '8', '7']",80,700

Peugeot 207 1.4 16V-SLOVENSKI-1LASTNIK-88PS-SPORT-,Peugeot,2007,167483,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",65,3250

Peugeot 207 1.4-SLOVENSKI-1.LASTNIK,Peugeot,2010,122100,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",54,2999

Peugeot 207 Premium 1.4 16V,Peugeot,2007,160000,bencinski motor,ročni menjalnik,"['1', '3', '6', '0']",65,1900

Peugeot 207 SW Outdoor 1.6 HDi-PANORAMA-SLO-PDC-2CONSKA KLIMA,Peugeot,2010,240000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",80,2450

Peugeot 207 SW Trendy 1.4 VTi 87990KM 2 LASTNIK PANORAMA USNJE,Peugeot,2010,87990,bencinski motor,ročni menjalnik,"['1', '3', '9', '7']",70,3490

Peugeot 207 Sport 1.6 16V VTi.AVT.KLIMA.TEMPOMAT,Peugeot,2008,188000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",88,2000

Peugeot 208 1.2 PureTech 82 Active,Peugeot,2017,27400,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",60,8790

Peugeot 208 1.2 PureTech 82 Urban SOUL.SLO. OBROKE-BREZ POLOGA,Peugeot,2015,74900,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",60,7499

Peugeot 208 1.4 VTi Active,Peugeot,2012,108974,bencinski motor,ročni menjalnik,"['1', '3', '9', '7']",70,5500

Peugeot 208 1.4 VTi Active,Peugeot,2012,77000,bencinski motor,ročni menjalnik,"['1', '3', '9', '7']",70,5900

Peugeot 3008 1.6 HDI-NAVI.-F1 PRESTAVE-MONOST TRAJNIKA,Peugeot,2011,178000,diesel motor,avtomatski menjalnik,"['1', '5', '6', '0']",82,6600

Peugeot 301 1.6 HDi Active,Peugeot,2013,88206,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",68,5800

Peugeot 301 1.6 VTi-SLOVENSKI-1LASTNIK-KOT NOV-,Peugeot,2013,134688,bencinski motor,ročni menjalnik,"['1', '5', '8', '7']",85,4850

Peugeot 307 2.0 HDi XS,Peugeot,2003,243000,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",66,1200

Peugeot 307 CC 2.0 16V-SLOVENSKI-SAMO 139.000KM-SPORT PAKET-,Peugeot,2004,139112,bencinski motor,ročni menjalnik,"['1', '9', '9', '7']",100,3250

Peugeot 307 SW Pack 1.6 16V HDi,Peugeot,2006,366282,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",80,1100

Peugeot 308 ,Peugeot,2011,115000,bencinski motor,ročni menjalnik,"['1', '6', '0', '0']",115,8500

Peugeot 308 1.6i Led Av.Klima Park Tempomat Multi Alu Platièa,Peugeot,2012,96784,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",88,5990

Peugeot 308 Confort Pack 1.6 16V VTi,Peugeot,2009,65350,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",88,3800

Peugeot 308 SW 1.2 e-THP PureTech Active,Peugeot,2016,76000,bencinski motor,ročni menjalnik,"['1', '1', '9', '9']",96,10890

Peugeot 308 SW 1.6 e-HDI Allure UGODNO TOP OPR VEL.SER KOT NOV,Peugeot,2014,180000,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",85,7400

Peugeot 407 SW SV Executive 2.0 HDi 16V,Peugeot,2005,312000,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",100,1600

Peugeot 5008 1.5 BlueHDI S S Allure+-7 SEDEEV-LED-KAMERA-NAVI,Peugeot,2019,21000,diesel motor,ročni menjalnik,"['1', '4', '9', '9']",96,25999

Peugeot 5008 1.6 HDi STYLE-SLOVENSKI-SAMO 76.000KM-LED-16C-PDC ,Peugeot,2014,76143,diesel motor,ročni menjalnik,"['1', '5', '6', '0']",84,9850

Peugeot 508 SW 2.0 HDi FAP Allure Avt.,Peugeot,2012,175000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '7']",120,12500

Peugeot 607 2.0 HDi,Peugeot,2005,300000,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",79,2500

Peugeot Expert 2.0 HDI L2H1- 6 - SEDEEV-PDC-ODLIÈEN,Peugeot,2016,141850,diesel motor,ročni menjalnik,"['1', '9', '9', '7']",94,13999

Porsche Boxster 986,Porsche,2000,150000,bencinski motor,ročni menjalnik,"['2', '5', '0', '0']",150,10100

Porsche Cayenne 3.0 D V6-LED-PARK-PANORAMA-USNJE-2X NAVI-PARK-1LAS,Porsche,2017,149000,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",193,39990

Porsche Cayenne 3.2 V6 Tiptronic,Porsche,2006,264000,bencinski motor,avtomatski menjalnik,"['3', '1', '8', '9']",184,6500

Porsche Panamera 4.0 V8 4S-SPORT DESIGN-CHRONO-ACC-LED-21ALU-ZRACNO,Porsche,2018,123000,diesel motor,avtomatski menjalnik,"['3', '9', '5', '6']",310,85890

Porsche Panamera 4S PDK,Porsche,2011,226209,bencinski motor,avtomatski menjalnik,"['4', '8', '0', '6']",294,33000

Puch - Pincgauer,Puch,1980,32356,diesel motor,ročni menjalnik,"['2', '5', '0', '0']",55,8999

Renault Captur TCe 90 Energy Expression Start Stop,Renault,2016,80000,bencinski motor,ročni menjalnik,"['8', '9', '8']",66,10000

Renault Captur dCi 90 Energy Authentique Start Stop,Renault,2015,159000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",66,8490

Renault Clio ,Renault,2000,162000,bencinski motor,ročni menjalnik,velikost motorja ni znana,"55 kW / 75 KM
",500

Renault Clio ,Renault,2006,129000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,1680

Renault Clio 1.2 ,Renault,2009,193000,bencinski motor,ročni menjalnik,"['1', '1', '4', '0']",43,2200

Renault Clio 1.2 16V ,Renault,2011,58000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,5200

Renault Clio 1.2 16V Authentique Pack Clim,Renault,2005,149000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,2090

Renault Clio 1.2 16V Billabong,Renault,2004,213000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,600

Renault Clio 1.2 16V Dynamique-SLOVENSKI-PORTNI SEDEI-ODLIÈEN,Renault,2005,196571,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,2450

Renault Clio 1.2 16V Elan,Renault,2009,161000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,2600

Renault Clio 1.2 16V RIPCURL,Renault,2009,163000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,2500

Renault Clio 1.2 16V Rip Curl 2,Renault,2008,164000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,2399

Renault Clio 1.2 16V SLOVENSKI-ALU-NAVIGACIJA,Renault,2013,154993,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",54,4999

Renault Clio 1.2 16V Storia Elan,Renault,2009,114930,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,2300

Renault Clio 1.2 16V Team SLO POREKLO,Renault,2007,133000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,2400

Renault Clio 1.2 Expression,Renault,2003,173500,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",43,650

Renault Clio 1.2 Limited   12.000 km ,Renault,2018,12000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",54,8490

Renault Clio 1.2 RN,Renault,1998,184000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",43,600

Renault Clio 1.2 Storia Expression.ODLIÈEN,Renault,2009,109125,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",43,3300

Renault Clio 1.2 TCE Exception 2,Renault,2009,139800,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",74,3800

Renault Clio 1.5 dCi ,Renault,2005,260000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",48,700

Renault Clio 1.5 dCi Dynamique Confort,Renault,2004,260000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",48,500

Renault Clio 1.6 16V Sport,Renault,2000,340000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",79,380

Renault Clio Grandtour dCi 75 Limited,Renault,2019,65000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",55,9850

Renault Clio RN 1.2,Renault,1997,180000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",43,380

Renault Clio TCe 90 Energy Techno Feel Start Stop,Renault,2015,149000,bencinski motor,ročni menjalnik,"['8', '9', '8']",66,6599

Renault Clio dCi 75 Energy Limited ODLIÈEN,Renault,2017,91750,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",55,7380

Renault Clio dCi 75 Techno Feel,Renault,2014,132100,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",55,6300

Renault Espace Privilege 2.2 dCi,Renault,2007,275400,diesel motor,ročni menjalnik,"['2', '1', '8', '8']",110,1490

Renault Espace dCi Initiale Paris. KAMERA.LED.NAVI.PDC.MASAA.,Renault,2018,117000,diesel motor,avtomatski menjalnik,"['1', '5', '9', '8']",118,18990

Renault Fluence 1.6 16V Dynamique,Renault,2010,125647,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",81,3490

Renault Grand Scenic 1.9 dCi Family,Renault,2009,188600,diesel motor,ročni menjalnik,"['1', '8', '7', '0']",96,2750

Renault Grand Scenic 1.9 dCi Privilege,Renault,2008,240000,diesel motor,ročni menjalnik,"['1', '8', '7', '0']",96,1890

Renault Grand Scenic dCi 110 Limited Edition EDC - 7 sedeev,Renault,2015,127221,diesel motor,avtomatski menjalnik,"['1', '4', '6', '1']",81,8450

Renault Grand Scenic dCi-NAVIGACIJA-LED-20 COL-TEMPOMAT,Renault,2017,158000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",81,12950

Renault Kangoo 1.5 dCi 110 Luxe,Renault,2014,98500,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",81,8200

Renault Kangoo 1.5 dCi 110- le 49.000 km- PDC - KLJUKA- AVT KLIMA,Renault,2018,49000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",81,11950

Renault Kangoo 1.5 dCi 90 Confort,Renault,2015,57000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",66,9490

Renault Kangoo 4x4 Privilege Luxe 1.6 16V,Renault,2006,162000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",70,4390

Renault Kangoo Oasis 1.5 dCi,Renault,2007,210000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",62,3150

Renault Laguna 1.5 dCi 110 Champion - na OBROKE BREZ POLOGA,Renault,2011,180000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",81,4500

Renault Laguna Authentique 1.9 dCi,Renault,2004,303000,diesel motor,ročni menjalnik,"['1', '8', '7', '0']",74,600

Renault Laguna Dynamique 1.9 dCi,Renault,2003,175000,diesel motor,ročni menjalnik,"['1', '8', '7', '0']",88,1200

Renault Laguna Grandtour 1.5 dCi-HITRI KREDIT ODOBREN V 10 MIN,Renault,2009,171000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",81,4990

Renault Laguna Grandtour Authentique 1.9 dCi,Renault,2002,314000,diesel motor,ročni menjalnik,"['1', '8', '7', '0']",88,1300

Renault Laguna Laguna Grandtour Dynamique 4Control 2.0 dCi,Renault,2009,320000,diesel motor,ročni menjalnik,"['1', '9', '9', '8']",96,3200

Renault Megane 1.5 dCi ,Renault,2005,200000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",60,990

Renault Megane 1.9 dCi Authentique Confort,Renault,2004,214000,diesel motor,ročni menjalnik,"['1', '8', '7', '0']",88,950

Renault Megane Authentique Confort 1.6 16V,Renault,2005,141281,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",83,1700

Renault Megane Berline 1.5 dCi Authentique Pack,Renault,2005,243000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",60,800

Renault Megane Berline 1.6 16V GT Style,Renault,2014,97500,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",81,6450

Renault Megane Berline 1.6 16V Privilege Luxe,Renault,2003,253000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",83,900

Renault Megane Berline 1.9 dCi Privilege Luxe,Renault,2005,272000,diesel motor,ročni menjalnik,"['1', '8', '7', '0']",88,930

Renault Megane Berline Blue dCi 115 Limited SLO.1.LASTNIK,Renault,2018,65330,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",85,12990

Renault Megane Coupe 1.5 dCi Authentique,Renault,2006,260000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",63,1000

Renault Megane GT dCi 165 EDC ALU 18+LED+RADAR+BOSE HIFI,Renault,2017,96000,diesel motor,avtomatski menjalnik,"['1', '5', '9', '8']",120,14850

Renault Megane Grandtour 1.5 dCi Expression,Renault,2010,220818,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",78,900

Renault Megane Grandtour 1.5 dCi Slovenski 131.000km,Renault,2009,131000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",63,3790

Renault Megane Grandtour 1.6 16V Authentique,Renault,2010,179000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",74,5600

Renault Megane Grandtour 1.6 16V Dynamique Confort,Renault,2004,200000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",83,800

Renault Megane Grandtour 1.9 dCi,Renault,2007,223000,diesel motor,ročni menjalnik,"['1', '8', '7', '0']",96,1700

Renault Megane Privilege Luxe 2.0 16V PLIN,Renault,2005,239233,bencinski motor,ročni menjalnik,"['1', '9', '9', '8']",98,2500

Renault Megane Sedan 1.5 dCi,Renault,2005,246000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",63,1000

Renault Megane dCi 110 Limited -NAVI-LED-PDC-GRETJE-,Renault,2018,12000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",81,11950

Renault Modus 1.2 TCE Elan,Renault,2008,85233,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",74,3000

Renault Modus 1.5 dCi Dynamique,Renault,2006,156000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",63,1800

Renault Modus 1.5 dCi Dynamique,Renault,2008,206147,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",50,2550

Renault Modus 1.5 dCi Elan,Renault,2008,162900,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",50,2750

Renault R 19 1.8 16V ODLICNA SERVISIRANA BREZ RJE,Renault,1995,199000,bencinski motor,ročni menjalnik,"['1', '7', '6', '4']",99,3690

Renault R 4 GTL,Renault,1991,115000,bencinski motor,ročni menjalnik,velikost motorja ni znana,"25 kW / 34 KM
",2290

Renault Scenic -BREZ POLOGA-TEMP-NAVI-LED-,Renault,2014,169000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",81,5950

Renault Scenic 1.5 dCi Color Edition,Renault,2011,104500,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",81,4700

Renault Scenic 1.5 dCi SLO-ODLIÈEN-FINACIRANJE BREZ POLOGA,Renault,2011,169500,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",81,3690

Renault Scenic 1.6 16V Authentique SLO VINJETA 185000KM,Renault,2005,185000,bencinski motor,ročni menjalnik,"['1', '5', '9', '8']",83,1499

Renault Scenic 1.9 dCi Expression Confort,Renault,2004,240000,diesel motor,ročni menjalnik,"['1', '8', '7', '0']",88,700

Renault Scenic Avantura 1.9 dCi,Renault,2007,189250,diesel motor,ročni menjalnik,"['1', '8', '7', '0']",96,1870

Renault Scenic dCi 110 Energy Business EDC Bi-tone,Renault,2017,104506,diesel motor,avtomatski menjalnik,"['1', '4', '6', '1']",81,12480

Renault Scenic dCi 95 Limited Edition,Renault,2015,156000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",70,6499

Renault Twingo 1.2 16V Expression,Renault,2002,180000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,570

Renault Twingo 1.5 dCi-KLIMA-EL.PAKET-CD-MONA MENJAVA,Renault,2008,160000,diesel motor,ročni menjalnik,"['1', '4', '6', '1']",47,1599

Renault Twingo Base,Renault,1999,172500,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",43,499

Renault Twingo Papillon 1.2 16V LEV,Renault,2014,80800,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",55,4300

Renault Twingo SCe 70 Limited-samo 11500km-navi-kamera-pdc,Renault,2018,11500,bencinski motor,ročni menjalnik,"['9', '9', '9']",51,8240

Renault Twingo SCe 70°°samo 7.500 km°°1.lastnik°°,Renault,2017,7500,bencinski motor,ročni menjalnik,"['9', '9', '9']",51,5999

Renault Twingo Trend 1.2 16V SLOVENSKI-1 LASTNICA,Renault,2009,108445,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",56,2490

Renault Wind TCE 1.2T 16v,Renault,2010,104000,bencinski motor,ročni menjalnik,"['1', '1', '4', '9']",74,3200

Seat Altea Reference 1.9 TDI,Seat,2004,175000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",77,2500

Seat Cordoba ,Seat,2001,422000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",50,550

Seat Ibiza ,Seat,2004,111981,bencinski motor,ročni menjalnik,"['1', '3', '9', '0']",55,1200

Seat Ibiza ,Seat,1997,150000,bencinski motor,ročni menjalnik,"['1', '6', '0', '0']",140,180

Seat Ibiza 1.2 TSI Style,Seat,2017,26420,bencinski motor,ročni menjalnik,"['1', '1', '9', '7']",66,8250

Seat Ibiza 1.4 16V Reference-1.LASTNICA-SLO-ALU-ODLIÈNA,Seat,2014,145000,bencinski motor,ročni menjalnik,"['1', '3', '9', '0']",63,5690

Seat Ibiza 1.4 mona menjava,Seat,2000,250000,bencinski motor,ročni menjalnik,"['1', '3', '9', '1']",44,590

Seat Ibiza FR 1.9 TDI,Seat,2006,223000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",96,3290

Seat Ibiza Reference 1.2,Seat,2010,174900,bencinski motor,ročni menjalnik,"['1', '1', '9', '8']",51,2590

Seat Ibiza Reference 1.4 16V Avt.,Seat,2006,239000,bencinski motor,ročni menjalnik,"['1', '3', '9', '0']",55,1500

Seat Ibiza ST 1.2 TDI Reference,Seat,2013,175300,diesel motor,ročni menjalnik,"['1', '1', '9', '9']",55,5500

Seat Ibiza Signo 1.9 SDI,Seat,2002,292000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",47,850

Seat Leon 1.4 16V.  opravljen veliki servis. lepo ohranjen,Seat,2000,167258,bencinski motor,ročni menjalnik,"['1', '3', '9', '0']",55,795

Seat Leon 1.5 TSI Style- Vision Edition. ACC. LANE ASSIST.,Seat,2018,40000,bencinski motor,ročni menjalnik,"['1', '4', '9', '8']",96,14999

Seat Leon FR,Seat,2015,196000,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",105,9600

Seat Leon ST 2.0 TDI FR DSG Vsa oprema - slovenski,Seat,2017,125040,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,14200

Seat Leon Scorpion 1.6 TDI CR DPF,Seat,2011,194000,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",77,4900

Seat Leon Stella 1.4 16V,Seat,2002,280000,bencinski motor,ročni menjalnik,"['1', '3', '9', '0']",55,750

Seat Toledo 1.9 TDI ,Seat,2005,298000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",77,1750

Smart forfour passion 1.3,Smart,2006,194963,bencinski motor,ročni menjalnik,"['1', '3', '3', '2']",70,1049

Smart fortwo cabrio-ODLIÈNO OHRANJEN-FINANCIRANJE BREZ POLOGA,Smart,2009,108000,bencinski motor,avtomatski menjalnik,"['9', '9', '9']",52,4250

Smart fortwo passion cdi DPF Softouch,Smart,2009,91447,diesel motor,avtomatski menjalnik,"['7', '9', '9']",33,4400

Subaru Forester 2.0D BR AWD,Subaru,2009,200000,diesel motor,ročni menjalnik,"['1', '9', '9', '8']",108,5700

Subaru Forester 2.0D Comfort 4x4-ODLIÈEN-KREDIT BREZ POLOGA-NAVI,Subaru,2012,189000,diesel motor,ročni menjalnik,"['1', '9', '9', '8']",108,8999

